state,zip_code,locations,active_locations,inactive_locations,unknown_status_locations,kroger_banner_locations,brands
GA,30019,2,2,0,0,2,1
GA,30040,2,2,0,0,2,1
GA,30041,2,2,0,0,2,1
GA,30043,2,2,0,0,2,1
GA,30047,2,2,0,0,2,1
GA,30052,2,2,0,0,2,1
GA,30062,2,2,0,0,2,1
GA,30066,2,2,0,0,2,1
GA,30075,2,2,0,0,2,1
GA,30084,2,2,0,0,2,1
GA,30096,2,2,0,0,2,1
GA,30101,2,2,0,0,2,1
GA,30115,2,2,0,0,2,1
GA,30127,2,2,0,0,2,1
GA,30132,2,2,0,0,2,1
GA,30134,2,2,0,0,2,1
GA,30135,2,2,0,0,2,1
GA,30188,2,2,0,0,2,1
GA,30214,2,2,0,0,2,1
GA,30236,2,2,0,0,2,1
GA,30265,2,2,0,0,2,1
GA,30269,2,2,0,0,2,1
GA,30281,2,2,0,0,2,1
GA,30306,2,2,0,0,2,1
GA,30311,2,2,0,0,2,1
GA,30316,2,2,0,0,2,1
GA,30542,2,2,0,0,2,1
GA,30606,2,2,0,0,2,1
GA,30909,2,2,0,0,2,1
GA,31406,2,2,0,0,2,1
ID,83301,2,2,0,0,0,2
ID,83705,2,2,0,0,0,1
IL,60640,2,2,0,0,0,1
IL,61350,2,2,0,0,2,1
IL,61701,2,2,0,0,2,1
IL,62521,2,2,0,0,2,1
IN,46037,2,2,0,0,2,1
IN,46060,2,2,0,0,2,1
IN,46074,2,2,0,0,2,1
IN,46077,2,2,0,0,2,1
IN,46143,2,2,0,0,2,1
IN,46220,2,2,0,0,2,1
IN,46227,2,2,0,0,2,1
IN,46237,2,2,0,0,2,1
IN,46268,2,2,0,0,2,1
IN,47150,2,2,0,0,2,1
IN,47167,2,2,0,0,0,2
IN,47201,2,2,0,0,1,2
IN,47274,2,2,0,0,0,1
IN,47401,2,2,0,0,2,1
IN,47403,2,2,0,0,2,1
KS,66049,2,2,0,0,0,1
KS,66502,2,2,0,0,0,1
KS,67037,2,2,0,0,0,1
KS,67114,2,2,0,0,0,1
KS,67212,2,2,0,0,0,1
KS,67530,2,2,0,0,0,1
KS,67601,2,2,0,0,0,1
KS,67846,2,2,0,0,0,1
KY,40031,2,2,0,0,2,1
KY,40218,2,2,0,0,2,1
KY,40299,2,2,0,0,2,1
KY,40502,2,2,0,0,2,1
KY,40511,2,2,0,0,2,1
KY,40601,2,2,0,0,2,1
KY,40701,2,2,0,0,2,1
KY,40741,2,2,0,0,2,1
KY,41042,2,2,0,0,2,1
KY,41071,2,2,0,0,2,1
